id,subject,sid,univer,univer_code,course,course_code,qualification
271,Abroad,5,"University of St Andrews",S36,"Middle East Studies-Spanish with Year Abroad",TR64,"5FT Hon MA"
272,Abroad,5,"University of St Andrews",S36,"Modern History-Russian with Year Abroad",RVRC,"5FT Hon MA"
273,Abroad,5,"University of St Andrews",S36,"Modern History-Spanish with Year Abroad",RVK1,"5FT Hon MA"
274,Abroad,5,"University of St Andrews",S36,"Modern Lang with Int Rel (Int Yr Abroad)",T9L2,"5FT Hon MA"
275,Abroad,5,"University of St Andrews",S36,"Modern Languages (Triple Subject with Yr Abroad)",T901,"5FT Hon MA"
276,Abroad,5,"University of St Andrews",S36,"Modern Languages with English with Year Abroad",R9QH,"5FT Hon MA"
277,Abroad,5,"University of St Andrews",S36,"Modern Languages with Mgt (Integ Yr Abroad)",T9N2,"5FT Hon MA"
278,Abroad,5,"University of St Andrews",S36,"Philosophy-Russian with Year Abroad",RVR5,"5FT Hon MA"
279,Abroad,5,"University of St Andrews",S36,"Philosophy-Spanish with Year Abroad",RVK5,"5FT Hon MA"
280,Abroad,5,"University of St Andrews",S36,"Russian with Geography with Year Abroad",R7L7,"5FT Hon MA"
281,Abroad,5,"University of St Andrews",S36,"Russian with Integrated Year Abroad",R711,"5FT Hon MA"
282,Abroad,5,"University of St Andrews",S36,"Russian-Scottish History (with year Abroad)",VR27,"5FT Hon MA"
283,Abroad,5,"University of St Andrews",S36,"Russian-Social Anthropology with Year Abroad",LRP7,"5FT Hon MA"
284,Abroad,5,"University of St Andrews",S36,"Russian-Spanish with Year Abroad",RRK7,"5FT Hon MA"
285,Abroad,5,"University of St Andrews",S36,"Scottish History-Spanish (Integ Yr Abroad)",VR24,"5FT Hon MA"
286,Abroad,5,"University of St Andrews",S36,"Social Anthropology-Spanish with Year Abroad",LRP4,"5FT Hon MA"
287,Abroad,5,"University of St Andrews",S36,"Spanish with Geography (WIYA)",R4LR,"5FT Hon MA"
288,Abroad,5,"University of St Andrews",S36,"Spanish with Integrated Year Abroad",R411,"5FT Hon MA"
289,Abroad,5,"University of St Andrews",S36,"Spanish-Theological St (with Integ Yr Abroad)",VR64,"5FT Hon MA"
290,Abroad,5,"Swansea University",S93,"Accounting and Finance with a year abroad",NN4H,"4FT Hon BSc"
291,Abroad,5,"Swansea University",S93,"Actuarial Studies (with a year abroad) (4 years)",G3NH,"4FT Hon BSc"
292,Abroad,5,"Swansea University",S93,"Actuarial Studies with Accounting (year abroad)",G3N4,"4FT Hon BSc"
293,Abroad,5,"Swansea University",S93,"Business Economics with a year abroad",L114,"4FT Hon BSc"
294,Abroad,5,"Swansea University",S93,"Business Economics with a year abroad",L115,"4FT Hon BA"
295,Abroad,5,"Swansea University",S93,"Economics With A Year Abroad",L101,"4FT Hon BSc"
296,Abroad,5,"Swansea University",S93,"Economics with a Year Abroad",L105,"4FT Hon BA"
297,Abroad,5,"Swansea University",S93,"Electron. & Elect Eng (with a yr abroad) 4 yrs",H603,"4FT Hon BEng"
298,Abroad,5,"Swansea University",S93,"International Business Mgt (Australasia) 4 years",N121,"4FT Hon BSc"
299,Abroad,5,"Swansea University",S93,"Mgt Science and Math (with a year abroad)",GNC2,"4FT Hon BSc"
300,Abroad,5,"Swansea University",S93,"Physics (with a year abroad) (4 years)",F302,"4FT Hon BSc"
301,Abroad,5,"University College London (University of London)",U80,"Archaeology with a Year Abroad (4 years)",F401,"4FT Hon BA"
302,Abroad,5,"University College London (University of London)",U80,"Chemical Engineering (with Study Abroad)",H802,"4FT Hon MEng"
303,Abroad,5,"University College London (University of London)",U80,"Classics (with Study Abroad) (4 years)",Q801,"4FT Hon BA"
304,Abroad,5,"University College London (University of London)",U80,"History (with a Year Abroad) (4 years)",V104,"4FT Hon BA"
305,Abroad,5,"University College London (University of London)",U80,"Politics & E. European St (with Yr Abrd) (4 yrs)",LRF7,"4FT Hon BA"
306,Abroad,5,"The University of Warwick",W20,"English & German Literature (4 Yrs inc yr abrd)",QR32,"4FT Hon BA"
307,Abroad,5,"The University of Warwick",W20,"English and French (4 Yrs inc yr abroad)",QR31,"4FT Hon BA"
308,Abroad,5,"The University of Warwick",W20,"English and Italian Lit (4 Yrs inc yr abroad)",QR33,"4FT Hon BA"
309,Abroad,5,"The University of Warwick",W20,"French and German Studies (4 Yrs inc yr abroad)",RR12,"4FT Hon BA"
310,Abroad,5,"The University of Warwick",W20,"French and History (4 Yrs inc yr abroad)",RV11,"4FT Hon BA"
311,Abroad,5,"The University of Warwick",W20,"French and Italian Studies (4 Yrs inc yr abroad)",RR13,"4FT Hon BA"
312,Abroad,5,"The University of Warwick",W20,"French Studies (4 years including year abroad)",R120,"4FT Hon BA"
313,Abroad,5,"The University of Warwick",W20,"French Studies with German (4 Yrs inc yr abroad)",R1R2,"4FT Hon BA"
314,Abroad,5,"The University of Warwick",W20,"French Studies with Italian (4 Yrs inc yr abrd)",R1R3,"4FT Hon BA"
315,Abroad,5,"The University of Warwick",W20,"German & Business Studies (4 Yrs inc yr abroad)",RN21,"4FT Hon BA"
316,Abroad,5,"The University of Warwick",W20,"German Studies (4 years including year abroad)",R220,"4FT Hon BA"
317,Abroad,5,"The University of Warwick",W20,"German Studies and Italian (4 Yrs inc year abrd)",RR23,"4FT Hon BA"
318,Abroad,5,"The University of Warwick",W20,"German with French (4 Yrs inc yr abroad)",R2R1,"4FT Hon BA"
319,Abroad,5,"The University of Warwick",W20,"German with Int Studies (4 Yrs inc yr abroad)",R2L2,"4FT Hon BA"
320,Abroad,5,"The University of Warwick",W20,"German with Italian (4 Yrs inc year abroad)",R2R3,"4FT Hon BA"
321,Abroad,5,"The University of Warwick",W20,"History, Literature and Cultures of the Americas",T704,"4FT Hon BA"
322,Abroad,5,"The University of Warwick",W20,"International Business (4 Yrs inc yr abroad)",N110,"4FT Hon BSc"
323,Abroad,5,"The University of Warwick",W20,"Italian and European Lit (4 Yrs inc yr abroad)",RQ32,"4FT Hon BA"
324,Abroad,5,"The University of Warwick",W20,"Italian with Film Studies (4 Yrs inc yr abroad)",R3W6,"4FT Hon BA"
325,Abroad,5,"The University of Warwick",W20,"Italian with French (4 Yrs inc yr abroad)",R3R1,"4FT Hon BA"
326,Abroad,5,"The University of Warwick",W20,"Italian with German (4 Yrs inc yr abroad)",R3R2,"4FT Hon BA"
327,Abroad,5,"The University of Warwick",W20,"Italian with Int Studies (4 Yrs inc yr abroad)",R3L2,"4FT Hon BA"
328,Abroad,5,"The University of Warwick",W20,"Italian with Theatre Studies (4 Yrs inc yr abrd)",R3W4,"4FT Hon BA"
329,Abroad,5,"The University of Warwick",W20,"Law (4 Years) - Study Abroad in English",M108,"4FT Hon LLB"
330,Abroad,5,"The University of Warwick",W20,"Politics with French (4 Yrs inc year abroad)",L2R1,"4FT Hon BA"
331,Abroad,5,"The University of York",Y50,"Chemistry, Biological & Medicinal Chemistry ABR",F153,"4FT Hon MChem"
332,Abroad,5,"The University of York",Y50,"Chemistry, Management and Industry ABR",F191,"4FT Hon MChem"
333,Academic,6,"Coventry University",C85,"Business Faculty Foundation Year",N102,"1FT/4FT/5SW FYr/Hon BA"
334,Academic,6,"University of Cumbria",C99,"Football Coaching and Fitness",XB19,"2FT Fdg FdA"
335,Academic,6,"University of Cumbria",C99,"Sport Coaching",CX6D,"2FT Fdg FdA"
336,Academic,6,"University of Cumbria",C99,"Sport Development and Management",CN62,"2FT Fdg FdA"
337,Academic,6,"University of Cumbria",C99,"Sport Management",N290,"3FT Hon BA"
338,Academic,6,"University of Cumbria",C99,"Sport Management",N291,"2FT Dip DipHE"
339,Academic,6,"University of Cumbria",C99,"Sport Studies",C601,"3FT Hon BA"
340,Academic,6,"University of Cumbria",C99,"Sport Studies (Physical Activity & Sports Dev)",C607,"2FT Dip DipHE"
341,Academic,6,"The University of Manchester",M20,"Aerospace Engineering with Study in Europe",H401,"4FT Hon MEng"
342,Academic,6,"Staffordshire University Regional Federation",S73,"Electrical and Electronic Engineering",006H,"2FT HND"
343,Accelerated,7,"The University of Aberdeen",A20,"Law - Accelerated (Graduates only)",M115,"2FT Hon LLB"
344,Accelerated,7,"Anglia Ruskin University",A60,"International Business Strategy (Accelerated)",N125,"2FT Hon BA"
345,Accelerated,7,"City University",C60,"Adult Nursing Accelerated",3012,"2.5FT DNM DipNurse"
346,Accelerated,7,"City University",C60,"Mental Health Nursing Accelerated",3112,"2.5FT GDN DipNurse"
347,Accelerated,7,"University of Derby",D39,"Business Studies (Accelerated)",N102,"2FT Hon BA"
348,Accelerated,7,"University of Dundee",D65,"Law (Eng/NI) - Accelerated",M101,"2FT Ord LLB"
349,Accelerated,7,"University of Dundee",D65,"Law (Scots) - Accelerated",M104,"2FT Ord LLB"
350,Accelerated,7,"Greenwich School of Management",G74,"Business Management",N200,"2FT Hon BSc"
351,Accelerated,7,"Greenwich School of Management",G74,"Business Management Travel and Tourism Pathway",NN28,"2FT Hon BSc"
352,Accelerated,7,"Greenwich School of Management",G74,"Computer Science",G400,"2FT Hon BSc"
353,Accelerated,7,"Greenwich School of Management",G74,"Computer Science with Business Informatics",G4G5,"2FT Hon BSc"
354,Accelerated,7,"Greenwich School of Management",G74,"Human Resource Mgt with Information Systems",N6G5,"2FT Hon BSc"
355,Accelerated,7,"Greenwich School of Management",G74,"Management with Human Resource Management",N2N6,"2FT Hon BSc"
356,Accelerated,7,"King's College London (University of London)",K60,"Nursing Studies with reg. (Adult Nursing) Dip2",3012,"2FT DNM DipNurse"
357,Accelerated,7,"King's College London (University of London)",K60,"Nursing Studies with reg. (Child Nursing) Dip2",3312,"2FT DNM DipNurse"
358,Accelerated,7,"King's College London (University of London)",K60,"Nursing Studies with reg. (Mental Health) Dip2",3112,"2FT DNM Dip Nurse"
359,Accelerated,7,"Napier University, Edinburgh",N07,"LLB (Accelerated)",M100,"2FT Ord LLB"
360,Accelerated,7,"Newcastle University",N21,"Medicine (Accelerated Programme, Graduate Entry)",A101,"4FT Hon MBBS"
361,Accelerated,7,"University of Southampton",S27,"Law (Accelerated Programme)",M101,"2FT Hon LLB"
362,Accelerated,7,"Staffordshire University",S72,"LLB (2 year)",M101,"2FT Hon LLB"
363,Accelerated,7,"The University of Stirling",S75,"Law Accelerated Entry (graduates only)",M115,"4FT Hon LLB"
364,Accelerated,7,"The University of Strathclyde",S78,"Law(Scots) - Accelerated (for Graduates)",M115,"2FT Ord LLB"
365,Accelerated,7,"University of Worcester",W80,"Adult Nursing with NMC Registration(Accelerated)",3010,"2FT GDN DipNurse"
366,Accelerated,7,"University of Worcester",W80,"Mental Health Nursing (Accelerated)",3110,"2FT GDN DipNurse"
367,Accessories,8,"Bradford College: An Associate College of Leeds Metropolitan University",B60,"Fashion Design",E232,"3FT Hon BA"
368,Accessories,8,"Bradford College: An Associate College of Leeds Metropolitan University",B60,"Fashion Design",W232,"3FT Hon BA"
369,Accessories,8,"Buckinghamshire New University",B94,"Textiles Fashion Accessories",EW2R,"3FT Hon BA"
370,Accessories,8,"Buckinghamshire New University",B94,"Textiles Fashion Accessories",WW2R,"3FT Hon BA"
371,Accessories,8,"Cleveland College of Art and Design",C71,"Jewellery Design & Accessories",E720,"2FT Fdg FdA"
372,Accessories,8,"Cleveland College of Art and Design",C71,"Jewellery Design & Accessories",W720,"2FT Fdg FdA"
373,Accessories,8,"Coventry University",C85,"Fashion Accessories",E700,"3FT Hon BA"
374,Accessories,8,"Coventry University",C85,"Fashion Accessories",W700,"3FT Hon BA"
375,Accessories,8,"De Montfort University",D26,"Fashion Fabrics and Accessories",EW2R,"3FT Hon BA"
376,Accessories,8,"De Montfort University",D26,"Fashion Fabrics and Accessories",WW2R,"3FT Hon BA"
377,Accessories,8,"De Montfort University",D26,"Footwear Design",EWF7,"3FT Hon BA"
378,Accessories,8,"Middlesex University",M80,"Fashion Jewellery and Accessories",EW2R,"3FT Hon BA"
379,Accessories,8,"Middlesex University",M80,"Fashion Jewellery and Accessories",WW2T,"3FT Hon BA"
380,Accessories,8,"Middlesex University",M80,Jewellery,E720,"3FT/4SW Hon BA"
381,Accessories,8,"Middlesex University",M80,Jewellery,W720,"3FT/4SW Hon BA"
382,Accessories,8,"University of Northampton",N38,"Fashion (Footwear & Accessories)",E232,"3FT Hon BA"
383,Accessories,8,"University of Northampton",N38,"Fashion (Footwear & Accessories)",W232,"3FT Hon BA"
384,Accessories,8,"Staffordshire University",S72,"3D Design: Contemporary Jewellery & Fashion Acc",E790,"3FT Hon BA"
385,Accessories,8,"Staffordshire University",S72,"3D Design: Contemporary Jewellery & Fashion Acc",W790,"3FT Hon BA"
386,Accessories,8,"University Campus Suffolk",S82,"Fashion & Textiles",W230,"2FT Fdg FdA"
387,Accessories,8,"University of the Arts London",U65,"Cordwainers Accessories: Product Design & Dev",E245,"3FT Hon BA"
388,Accessories,8,"University of the Arts London",U65,"Cordwainers Footwear: Product Des & Development",W243,"3FT Hon BA"
389,Accessories,8,"University of the Arts London",U65,"Fashion Des Tech: Designer Pattern Cutter",EJ24,"2FT Fdg FdA"
390,Accessories,8,"University of Wolverhampton",W75,"Design and Applied Arts (Fashion Accessories)",EW2R,"3FT Hon BA"
391,Accessories,8,"University of Wolverhampton",W75,"Design and Applied Arts (Fashion Accessories)",WW2R,"3FT Hon BA"
392,Accident,9,"Bournemouth University",B50,"Forensic and Crime Scene Investigation",F412,"3FT Hon BSc"
393,Accident,9,"Bournemouth University",B50,"Forensic and Crime Scene Science",F410,"3FT Hon BSc"
394,Accountancy,10,"The University of Aberdeen",A20,Accountancy,N400,"4FT Hon MA"
395,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Anthropology",LN64,"4FT Hon MA"
396,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Divinity",NV46,"4FT Hon MA"
397,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Economics",NL41,"4FT Hon MA"
398,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Entrepreneurship",NN42,"4FT Hon MA"
399,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Finance",NN34,"4FT Hon MA"
400,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and French",NR41,"5FT Hon MA"
401,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Geography",NL47,"4FT Hon MA"
402,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and German",NR42,"5FT Hon MA"
403,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Hispanic Studies",NR44,"5FT Hon MA"
404,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Legal Studies",NM49,"4FT Hon MA"
405,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Management Studies",NN24,"4FT Hon MA"
406,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Philosophy",NV45,"4FT Hon MA"
407,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Property",NK42,"4FT Hon MA"
408,Accountancy,10,"The University of Aberdeen",A20,"Accountancy and Sociology",NL43,"4FT Hon MA"
409,Accountancy,10,"The University of Aberdeen",A20,"Accountancy with French",N4R1,"4FT Hon MA"
410,Accountancy,10,"The University of Aberdeen",A20,"Accountancy with German",N4R2,"4FT Hon MA"
411,Accountancy,10,"The University of Aberdeen",A20,"Chemistry with Accountancy",F1N4,"4FT Hon BSc"
412,Accountancy,10,"The University of Aberdeen",A20,"Law with options in Accountancy",M1N4,"3FT/4FT Ord/Hon LLB"
413,Accountancy,10,"University of Abertay Dundee",A30,"Accounting with Finance",N4N3,"2FT Hon BA"
414,Accountancy,10,"University of Abertay Dundee",A30,"Business Studies - (Finance)",N100,"4SW Hon BA"
415,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance",N400,"3FT Hon BScEcon"
416,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Computer Science",N4G4,"3FT Hon BScEcon"
417,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Cymraeg",N4Q5,"3FT Hon BScEcon"
418,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with French (4 years)",N4R1,"4FT Hon BScEcon"
419,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with German (4 years)",N4R2,"4FT Hon BScEcon"
420,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Information Management",N4P1,"3FT Hon BScEcon"
421,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Law",N4M1,"3FT Hon BScEcon"
422,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Management",N4N2,"3FT Hon BScEcon"
423,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Marketing",N4N5,"3FT Hon BScEcon"
424,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Mathematics",N4G1,"3FT Hon BScEcon"
425,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Spanish (4 years)",N4R4,"4FT Hon BScEcon"
426,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance with Statistics",N4G3,"3FT Hon BScEcon"
427,Accountancy,10,"Aberystwyth University",A40,"Accounting & Finance/Economics",LN14,"3FT Hon BScEcon"
428,Accountancy,10,"Aberystwyth University",A40,"Astud Ffilm a Theledu gyda Cyfryngau a Chyfathre",P3P9,"3FT Hon BA"
429,Accountancy,10,"Aberystwyth University",A40,"Business Finance",N310,"3FT Hon BScEcon"
430,Accountancy,10,"Aberystwyth University",A40,"Business Information Technology with Acc & Fin",G5N4,"3FT Hon BSc"
431,Accountancy,10,"Aberystwyth University",A40,"Computer Science with Accounting & Finance",G4N4,"3FT Hon BSc"
432,Accountancy,10,"Aberystwyth University",A40,"Information Management with Accounting & Finance",P1N4,"3FT Hon BScEcon"
433,Accountancy,10,"Aberystwyth University",A40,"Law with Accounting & Finance",M1N4,"3FT Hon BA"
434,Accountancy,10,"Aberystwyth University",A40,"Marketing with Accounting & Finance",N5N4,"3FT Hon BScEcon"
435,Accountancy,10,"Aberystwyth University",A40,"Mathematics with Accounting & Finance",G1N4,"3FT Hon BSc"
436,Accountancy,10,"Anglia Ruskin University",A60,"Accounting and Finance",N421,"3FT Hon BA"
437,Accountancy,10,"Aston University, Birmingham",A80,"Accounting for Management",N420,"4SW Hon BSc"
438,Accountancy,10,"Aston University, Birmingham",A80,"Business Computing and IT",NG45,"4SW Hon BSc"
439,Accountancy,10,"Bangor University",B06,"Accounting and Finance",N400,"3FT Hon BA"
440,Accountancy,10,"Bangor University",B06,"Accounting/Italian (4 years)",NR43,"4FT Hon BA"
441,Accountancy,10,"Bangor University",B06,"Accounting/Spanish (4 years)",NR44,"4FT Hon BA"
442,Accountancy,10,"Bangor University",B06,Banking/Accounting,NN34,"3FT Hon BA"
443,Accountancy,10,"Bangor University",B06,Economics/Accounting,LN14,"3FT Hon BA"
444,Accountancy,10,"Bangor University",B06,"French/Accounting (4 years)",NR41,"4FT Hon BA"
445,Accountancy,10,"Bangor University",B06,"German/Accounting (4 years)",NR42,"4FT Hon BA"
446,Accountancy,10,"Bangor University",B06,"Law with Accounting & Finance",M1N4,"3FT Hon LLB"
447,Accountancy,10,"Bangor University",B06,"Management with Accounting",N2N4,"3FT Hon BA"
448,Accountancy,10,"University of Bath",B16,"Accounting and Finance",NN34,"3FT Hon BSc"
449,Accountancy,10,"University of Bath",B16,"Accounting and Finance (4 year sandwich)",NN43,"4SW Hon BSc"
450,Accountancy,10,"University of Bedfordshire",B22,Accounting,N420,"3FT Hon BA"
451,Accountancy,10,"University of Bedfordshire",B22,"Accounting and Law",N3M1,"3FT Hon BA"
452,Accountancy,10,"University of Bedfordshire",B22,"Ext Degree of HE - Accounting (English pathway)",N401,"4FT Hon BA"
453,Accountancy,10,"University of Bedfordshire",B22,"Extended Degree of Higher Education - Accounting",N400,"4FT Hon BA"
454,Accountancy,10,"Birmingham City University",B25,Accountancy,N400,"3FT/4SW Hon BA"
455,Accountancy,10,"Birmingham City University",B25,"Accountancy and Business",NN41,"3FT/4SW Hon BA"
456,Accountancy,10,"Birmingham City University",B25,"Accountancy and Business Law",MN24,"3FT/4SW Hon BA"
457,Accountancy,10,"Birmingham City University",B25,"Accountancy and Economics",NL41,"3FT/4SW Hon BA"
458,Accountancy,10,"Birmingham City University",B25,"Accountancy and Finance",NN43,"3FT/4SW Hon BA"
459,Accountancy,10,"Birmingham City University",B25,"Accountancy and Management",NN42,"3FT/4SW Hon BA"
460,Accountancy,10,"The University of Birmingham",B32,"Accounting and Finance",N400,"3FT Hon BSc"
461,Accountancy,10,"The University of Bolton",B44,Accountancy,N400,"3FT Hon BA"
462,Accountancy,10,"The University of Bolton",B44,"Accountancy and Biology",CN14,"3FT Hon BA/BSc"
463,Accountancy,10,"The University of Bolton",B44,"Accountancy and Business Information Systems",NG45,"3FT Hon BA/BSc"
464,Accountancy,10,"The University of Bolton",B44,"Accountancy and Business Management",NN14,"3FT Hon BA"
465,Accountancy,10,"The University of Bolton",B44,"Accountancy and Community Studies",LN54,"3FT Hon BA"
466,Accountancy,10,"The University of Bolton",B44,"Accountancy and Creative Writing",NW48,"3FT Hon BA"
467,Accountancy,10,"The University of Bolton",B44,"Accountancy and English",NQ43,"3FT Hon BA"
468,Accountancy,10,"The University of Bolton",B44,"Accountancy and Environmental Studies",FN84,"3FT Hon BA/BSc"
469,Accountancy,10,"The University of Bolton",B44,"Accountancy and Film & Media Studies",NP43,"3FT Hon BA"
470,Accountancy,10,"The University of Bolton",B44,"Accountancy and History",NVK1,"3FT Hon BA"
471,Accountancy,10,"The University of Bolton",B44,"Accountancy and Human Sciences",CN94,"3FT Hon BA/BSc"
472,Accountancy,10,"The University of Bolton",B44,"Accountancy and Law",NM41,"3FT Hon BA"
473,Accountancy,10,"The University of Bolton",B44,"Accountancy and Logistics & Supply Chain Mgt",NN24,"3FT Hon BSc/BA"
474,Accountancy,10,"The University of Bolton",B44,"Accountancy and Mathematics",GN14,"3FT Hon BA/BSc"
475,Accountancy,10,"The University of Bolton",B44,"Accountancy and Psychology",NC48,"3FT Hon BA/BSc"
476,Accountancy,10,"The University of Bolton",B44,"LLB Law with Accountancy",M1N4,"3FT Hon LLB"
477,Accountancy,10,"Bournemouth University",B50,"Accounting and Business",NN41,"3FT/4SW Hon BA"
478,Accountancy,10,"Bournemouth University",B50,"Accounting and Finance",N420,"3FT Hon BA"
479,Accountancy,10,"Bournemouth University",B50,"Accounting and Law",NM41,"3FT Hon BA"
480,Accountancy,10,"Bournemouth University",B50,"Accounting and Taxation",NN43,"3FT/4SW Hon BA"
481,Accountancy,10,"The University of Bradford",B56,"Accounting and Finance",N420,"3FT Hon BSc"
482,Accountancy,10,"The University of Bradford",B56,"Accounting and Finance (4 years)",N421,"4SW Hon BSc"
483,Accountancy,10,"The University of Bradford",B56,"Business and Management Studies",N100,"3FT Hon BSc"
484,Accountancy,10,"The University of Bradford",B56,"Business Economics",L101,"3FT Hon BSc"
485,Accountancy,10,"The University of Bradford",B56,Economics,L100,"3FT Hon BSc"
486,Accountancy,10,"The University of Bradford",B56,"Economics with Marketing",L1N5,"3FT Hon BSc"
487,Accountancy,10,"The University of Bradford",B56,"Economics with Psychology",L1C8,"3FT Hon BSc"
488,Accountancy,10,"The University of Bradford",B56,"Economics with Sociology",L1LH,"3FT Hon BSc"
489,Accountancy,10,"The University of Bradford",B56,"Financial Economics",L111,"3FT Hon BSc"
490,Accountancy,10,"The University of Bradford",B56,"International Economics",L160,"3FT Hon BSc"
491,Accountancy,10,"Bradford College: An Associate College of Leeds Metropolitan University",B60,Accountancy,N410,"3FT Hon BA"
492,Accountancy,10,"Bradford College: An Associate College of Leeds Metropolitan University",B60,"Accountancy and Law",NM41,"3FT Hon BA"
493,Accountancy,10,"Bradford College: An Associate College of Leeds Metropolitan University",B60,"Business Administration",N250,"3FT Hon BA"
494,Accountancy,10,"Bradford College: An Associate College of Leeds Metropolitan University",B60,"Business Administration - (Accounting & Finance)",N250,"3FT Hon BA"
495,Accountancy,10,"University of Brighton",B72,"Accountancy Studies",N410,"3FT Hon BA"
496,Accountancy,10,"University of Brighton",B72,"Accounting and Finance",N420,"3FT/4SW Hon BA"
497,Accountancy,10,"Bristol, City of Bristol College",B77,"Accounting and Business",NN41,"2FT Fdg FdA"
498,Accountancy,10,"University of Bristol",B78,"Accounting and Finance",NN43,"3FT Hon BSc"
499,Accountancy,10,"University of Bristol",B78,"Accounting and Finance with SCE",NN34,"4FT Hon BSc"
500,Accountancy,10,"University of Bristol",B78,"Accounting and Management",NN42,"3FT Hon BSc"
501,Accountancy,10,"University of Bristol",B78,"Economics and Accounting",LN14,"3FT Hon BSc"
502,Accountancy,10,"University of the West of England, Bristol",B80,"Accounting and Finance",N420,"3FT/4SW Hon BA"
503,Accountancy,10,"University of the West of England, Bristol",B80,"Business Studies with Accounting & Finance",N1N4,"3FT/4SW Hon BA"
504,Accountancy,10,"Brunel University",B84,"Business & Management (Accounting) 4Yr Thick SW",N2NL,"4FT Hon BSc"
505,Accountancy,10,"Brunel University",B84,"Business & Management (Marketing)4 Yr Thick SW",N2N5,"4SW Hon BSc"
506,Accountancy,10,"Brunel University",B84,"Business and Management (Accounting)",NN14,"3FT Hon BSc"
507,Accountancy,10,"Brunel University",B84,"Business and Management (Marketing)",N2NM,"3FT Hon BSc"
508,Accountancy,10,"Brunel University",B84,"Finance and Accounting",NN34,"3FT Hon BSc"
509,Accountancy,10,"Brunel University",B84,"Finance and Accounting (4 year Thick SW)",NN3K,"4SW Hon BSc"
510,Accountancy,10,"The University of Buckingham",B90,"Accounting and Financial Management",NN43,"2FT Hon BScEcon"
511,Accountancy,10,"The University of Buckingham",B90,"Accounting with Communication Studies (EFL)",N4P9,"2FT Hon BSc"
512,Accountancy,10,"The University of Buckingham",B90,"Computing with Accounting & Finance",G4N4,"2FT Hon BSc"
513,Accountancy,10,"Buckinghamshire New University",B94,"Accounting and Finance",NN43,"3FT Hon BA"
514,Accountancy,10,"Canterbury Christ Church University",C10,"Accounting and Finance",NN43,"3FT Hon BSc"
515,Accountancy,10,"Canterbury Christ Church University",C10,"Accounting and Finance 'International only'",NN4H,"4FT Hon BSc"
516,Accountancy,10,"Canterbury Christ Church University",C10,"Business Studies",N100,"3FT Hon BSc"
517,Accountancy,10,"Canterbury Christ Church University",C10,"Business Studies with Accounting",N192,"3FT Hon BSc"
518,Accountancy,10,"Canterbury Christ Church University",C10,"Business Studies with Accounting 'Int Only'",N1NL,"4FT Hon BSc"
519,Accountancy,10,"Canterbury Christ Church University",C10,"Marketing with Accounting",N5N4,"3FT Hon BSc"
520,Accountancy,10,"Cardiff University",C15,Accounting,N400,"3FT Hon BSc"
521,Accountancy,10,"Cardiff University",C15,"Accounting and Economics",LN14,"3FT Hon BScEcon"
522,Accountancy,10,"Cardiff University",C15,"Accounting and Finance",N490,"3FT Hon BSc"
523,Accountancy,10,"Cardiff University",C15,"Accounting and Management",NN24,"3FT Hon BScEcon"
524,Accountancy,10,"Cardiff University",C15,"Accounting with a European Language (4 years)",N410,"4FT Hon BSc"
525,Accountancy,10,"University of Wales Institute, Cardiff",C20,Accounting,N400,"3FT Hon BA"
526,Accountancy,10,"University of Wales Institute, Cardiff",C20,"Accounting & Finance",NN43,"3FT Hon BA"
527,Accountancy,10,"University of Central Lancashire",C30,Accounting,N400,"3FT Hon BA"
528,Accountancy,10,"University of Central Lancashire",C30,Accounting,N401,"2FT Fdg FdA"
529,Accountancy,10,"University of Central Lancashire",C30,"Accounting and Financial Studies",N420,"3FT Hon BA"
530,Accountancy,10,"University of Central Lancashire",C30,"Accounting and Financial Studies (Year 2 entry)",N421,"2FT Hon BA"
531,Accountancy,10,"University of Central Lancashire",C30,"Accounting and Law",MN14,"3FT Hon BA"
532,Accountancy,10,"University of Central Lancashire",C30,"Business Joint Honours Programmes",NY10,"3FT/4SW Hon BA/BSc"
